text;hof_OR_none;text_tokens
Offenburg: Somalier greift nachts auf der Straße einen Senioren an, tritt derart massiv auf den am Boden liegenden 75-Jährigen ein, dass er mit schweren Kopfverletzungen ins Krankenhaus gebracht wird   ;NOT;['offenburg', 'somalier', 'greift', 'nachts', 'straße', 'senioren', 'tritt', 'derart', 'massiv', 'boden', 'liegenden', '75-jährigen', 'schweren', 'kopfverletzungen', 'krankenhaus', 'gebracht']
Offenburg: Die Attacke des 2015 nach D gekommen Somaliers auf den 75-Jährigen war ein solcher Gewaltexzess, dass das Opfer noch nicht vernehmungsfähig und wohl auf einem Auge erblindet ist - laut einem Zeugen rief der Täter bei der Tat 'Allahu Akbar'  ;NOT;['offenburg', 'attacke', '2015', 'd', 'gekommen', 'somaliers', '75-jährigen', 'gewaltexzess', 'opfer', 'vernehmungsfähig', 'wohl', 'auge', 'erblindet', 'laut', 'zeugen', 'rief', 'täter', 'tat', 'akbar']
Kapazitäten im ZDF und zur Eurowahl: Den Islam gibt es erst seit dem 7. Jahrhundert, aber Frans Timmermans, der Kommissionspräsident werden will, meint, dass der Islam seit 2000 Jahre zu Europa gehört. Keinen stört's, das Publikum klatscht. Pappnasen ;NOT;['kapazitäten', 'zdf', 'eurowahl', 'islam', 'gibt', 'erst', 'seit', '7.', 'jahrhundert', 'frans', 'timmermans', 'kommissionspräsident', 'meint', 'islam', 'seit', '2000', 'jahre', 'europa', 'gehört', 'stört', 'publikum', 'klatscht', 'pappnasen']
mdr Umfrage 'Gehört der Islam zu Deutschland?' 15.000 beteiligten sich und hier zeigt sich der Unterschied zwischen Propaganda und realem Empfinden der Menschen. ;NOT;['mdr', 'umfrage', 'islam', 'deutschland', '15.000', 'beteiligten', 'zeigt', 'unterschied', 'propaganda', 'realem', 'empfinden', 'menschen']
Da musste der Moderator wohl 2 mal hinschauen bei dem Ergebnis. Immerhin wird im MDR wohl nicht gefälscht, zumindest bei der Umfrage nicht.  ;NOT;['moderator', 'wohl', '2', 'mal', 'hinschauen', 'ergebnis', 'immerhin', 'mdr', 'wohl', 'gefälscht', 'zumindest', 'umfrage']
EU-Kommissar Frans Timmermans sagt, der Islam gehört seit 2000 (!) Jahren zu Europa. Interessant – Demnach war der Prophet Mohammed also ein Zeitgenosse von Jesus und Augustus? Bildungsdesaster Geschichtsklitterung   ;NOT;['eu-kommissar', 'frans', 'timmermans', 'sagt', 'islam', 'gehört', 'seit', '2000', 'jahren', 'europa', 'interessant', 'demnach', 'prophet', 'mohammed', 'zeitgenosse', 'jesus', 'augustus', 'bildungsdesaster', 'geschichtsklitterung']
Wenn ein Syrer den Die_Gruenen erzählt, dass er sich wegen kriminellen Flüchtlingen in Deutschland unsicher fühlt, wird er von den Gruenen als AFD Propagandist und Rechter Hetzer verunglimpft. Ein SYRER! ?????? ;NOT;['syrer', 'die_gruenen', 'erzählt', 'wegen', 'kriminellen', 'flüchtlingen', 'deutschland', 'unsicher', 'fühlt', 'gruenen', 'afd', 'propagandist', 'rechter', 'hetzer', 'verunglimpft', 'syrer']
Berlin: Ibrahima D. (24) von der Elfenbeinküste überfällt an einem Abend vier Frauen in Kreuzberg brutal, raubt ihnen Geld und Handys - vor Gericht rechtfertigt er sich mit: “Andere machen viel Schlimmeres”  ;NOT;['berlin', 'ibrahima', 'd.', '24', 'elfenbeinküste', 'überfällt', 'abend', 'vier', 'frauen', 'kreuzberg', 'brutal', 'raubt', 'geld', 'handys', 'gericht', 'rechtfertigt', 'schlimmeres\x94']
IS-Terror-Verdächtiger Salafist in Koeln festgenommen.  Der Deutsch-Tunesier Sabri Ben A. gilt als Größe im produzieren von Propagandavideos. Er soll mehrfach nach Syrien gereist und ein Terrorcamp mit Gegenständen im Wert von 80.000€ ausgerüstet haben ;NOT;['is-terror-verdächtiger', 'salafist', 'koeln', 'festgenommen', 'deutsch-tunesier', 'sabri', 'ben', 'a.', 'gilt', 'größe', 'produzieren', 'propagandavideos', 'mehrfach', 'syrien', 'gereist', 'terrorcamp', 'gegenständen', 'wert', '80.000\x80', 'ausgerüstet']
Einreise per Flugzeug: Regierung erklärt Flüchtlingszahlen zur Geheimsache / AfD prüft rechtliche Schritte ;NOT;['einreise', 'per', 'flugzeug', 'regierung', 'erklärt', 'flüchtlingszahlen', 'geheimsache', 'afd', 'prüft', 'rechtliche', 'schritte']
Wegen Volksverhetzung kann nach derzeitiger Rechtslage nicht bestraft werden, wer seine Hetze gegen Deutsche richtet, um diese Ungleichbehandlung zu ändern, hat AfD Gesetzentwurf vorgelegt, aber Rechtsausschuss lehnt AfD-Antrag auf Anhörung von Experten ab  ;NOT;['wegen', 'volksverhetzung', 'derzeitiger', 'rechtslage', 'bestraft', 'wer', 'hetze', 'deutsche', 'richtet', 'ungleichbehandlung', 'ändern', 'afd', 'gesetzentwurf', 'vorgelegt', 'rechtsausschuss', 'lehnt', 'afd-antrag', 'anhörung', 'experten', 'ab']
aufklaerer2017 ZDF ZDFheute dass 350 Deutsche durch 'Flüchtling/Schutzsuchende' brutal ermordert wurden seit 2015 oder in einem Jahr, ist natürlich im Vergleich zum Zerreissen Koran nichts.. man, man diese Journalie ist nicht zum Aushalten.;NOT;['aufklaerer2017', 'zdf', 'zdfheute', '350', 'deutsche', 'brutal', 'ermordert', 'wurden', 'seit', '2015', 'jahr', 'natürlich', 'vergleich', 'zerreissen', 'koran', 'journalie', 'aushalten']
ZDF ZDFheute Jetzt stellt euch mal vor, ein deutscher hätte das 9 Jährige Mädchen vergewaltigt und wäre durch Syrische Flüchtlinge gestellt worden. Sondersendungen der Dankbarkeit von maischberger bis illner plus Staatsbürgerschaft und Bundesverdienst;NOT;['zdf', 'zdfheute', 'stellt', 'mal', 'deutscher', 'hätte', '9', 'jährige', 'mädchen', 'vergewaltigt', 'wäre', 'syrische', 'flüchtlinge', 'gestellt', 'worden', 'sondersendungen', 'dankbarkeit', 'maischberger', 'illner', 'plus', 'staatsbürgerschaft', 'bundesverdienst']
Weil in Bremen 50 Korane zerrissen wurden sendet das ZDF 15 Minuten lang einen Bericht der Empörung. Das in DessauRoßlau ein 9 Jähriges Mädchen von einem Flüchtling vergewaltigt und von Zeugen gestellt wurde, darüber schweigt das ZDFheute ;NOT;['bremen', '50', 'korane', 'zerrissen', 'wurden', 'sendet', 'zdf', '15', 'minuten', 'lang', 'bericht', 'empörung', 'dessauroßlau', '9', 'jähriges', 'mädchen', 'flüchtling', 'vergewaltigt', 'zeugen', 'gestellt', 'wurde', 'darüber', 'schweigt', 'zdfheute']
der_zmd Reden sie lieber einmal davon wieviel Kirchen und christliche Symbole hier in Europa vom ihren Glaubensideologen geschändet wurden. ;NOT;['der_zmd', 'reden', 'lieber', 'davon', 'wieviel', 'kirchen', 'christliche', 'symbole', 'europa', 'glaubensideologen', 'geschändet', 'wurden']
Dem Bundestag ist es wichtiger gegen Rechts zu hetzen anstatt wichtige Anliegen zu bearbeiten. Machen die überhaupt noch etwas anderes ausser gegen die AfD kämpfen?     ;NOT;['bundestag', 'wichtiger', 'rechts', 'hetzen', 'anstatt', 'wichtige', 'anliegen', 'bearbeiten', 'überhaupt', 'ausser', 'afd', 'kämpfen']
alle müssen etwas mehr tun?    Sonst wird es viel Leid geben.     Mehr als 1945. Viel mehr?    Und in jeder Hinsicht?    ;NOT;['müssen', 'mehr', 'tun', 'leid', 'geben', 'mehr', '1945.', 'mehr', 'hinsicht']
In Berlin werden künftig (auch) Studienabbrecher an öffentlichen Schulen Kinder unterrichten. Läuft in der Bildungsrepublik Deutschland.;NOT;['berlin', 'künftig', 'studienabbrecher', 'öffentlichen', 'schulen', 'kinder', 'unterrichten', 'läuft', 'bildungsrepublik', 'deutschland']
Ich persönlich finde, dass die Toilette der geeignete Platz für dieses Buch ist. Besser ist es allerdings es nicht zu kaufen und einbrechen geht zu weit.   Ermittelt der Staatschutz eigentlich auch bei der Schändung christlicher Kirchen und Friedhöfe?  ;NOT;['persönlich', 'finde', 'toilette', 'geeignete', 'platz', 'buch', 'besser', 'allerdings', 'kaufen', 'einbrechen', 'geht', 'weit', 'ermittelt', 'staatschutz', 'eigentlich', 'schändung', 'christlicher', 'kirchen', 'friedhöfe']
AfD in Brandenburg jetzt Nummer 1. Die Wahlen im Herbst werden das politische Gefüge in ganz ???? erschüttern und vllt. auch die GroKo sprengen. Ich freue mich drauf! ;NOT;['afd', 'brandenburg', 'nummer', '1.', 'wahlen', 'herbst', 'politische', 'gefüge', 'ganz', 'erschüttern', 'vllt', 'groko', 'sprengen', 'freue', 'drauf']
+++ Heimatschatzkiste: Ein Schritt in die richtige Richtung +++    Dazu erklärt der sozialpolitische Sprecher der AfD-Fraktion, MdLFernandes : ;NOT;['heimatschatzkiste', 'schritt', 'richtige', 'richtung', 'erklärt', 'sozialpolitische', 'sprecher', 'afd-fraktion', 'mdlfernandes']
Nein, uns Ostdeutschen fehlt nicht der Kontakt zu Ausländern, sondern den Westdeutschen fehlt eher das Selbstbewusstsein und der Mut Kriminellen einen Riegel vorzuschieben  ;NOT;['nein', 'ostdeutschen', 'fehlt', 'kontakt', 'ausländern', 'westdeutschen', 'fehlt', 'eher', 'selbstbewusstsein', 'mut', 'kriminellen', 'riegel', 'vorzuschieben']
Wir können sie nicht zwingen, mit uns zu regieren. Wir können sie aber dazu zwingen, immer dreistere, dem Wählerwillen widersprechende Verliererkoalitionen bilden zu müssen. ;NOT;['zwingen', 'regieren', 'zwingen', 'immer', 'dreistere', 'wählerwillen', 'widersprechende', 'verliererkoalitionen', 'bilden', 'müssen']
Nach suboptimalem Fahrverhalten zweier Autofahrer in Bahrenfeld und Altenwerder wurden ihre hochwertigen Fahrzeuge und die Führerscheine sichergestellt.  ??????;NOT;['suboptimalem', 'fahrverhalten', 'zweier', 'autofahrer', 'bahrenfeld', 'altenwerder', 'wurden', 'hochwertigen', 'fahrzeuge', 'führerscheine', 'sichergestellt']
Geplünderte Mittelschicht: Die Freude bei einer Gehaltserhöhung währt nur kurz, denn der Staat kassiert Deutschlands Durchschnittsverdiener gnadenlos ab. Von 100 Euro mehr bleibt am Ende weniger als die Hälfte!  AfD Bundestag  ?? ;NOT;['geplünderte', 'mittelschicht', 'freude', 'gehaltserhöhung', 'währt', 'kurz', 'staat', 'kassiert', 'deutschlands', 'durchschnittsverdiener', 'gnadenlos', 'ab', '100', 'euro', 'mehr', 'bleibt', 'ende', 'weniger', 'hälfte', 'afd', 'bundestag']
mairpeda Proteus93484191 SPIEGELONLINE Nebenbei:... nicht nur um ihre Familien zu ernähren, sondern auch um diesen Staat zwangsweise zu finanzieren.;NOT;['mairpeda', 'proteus93484191', 'spiegelonline', 'nebenbei', 'familien', 'ernähren', 'staat', 'zwangsweise', 'finanzieren']
„Wurde in den letzten Jahren vonseiten der Politik auf Verteilen statt Schaffen von Wohlstand gesetzt, steht uns ein noch radikalerer Weg bevor.“   Klasse, fundierter und bedrückender Lagebericht von thinkBTO   ;NOT;['letzten', 'jahren', 'vonseiten', 'politik', 'verteilen', 'statt', 'schaffen', 'wohlstand', 'gesetzt', 'steht', 'radikalerer', 'bevor.\x93', 'klasse', 'fundierter', 'bedrückender', 'lagebericht', 'thinkbto']
Tiefseher welt Wenn der Staat damit wenigstens für die Zukunft sorgen würde! Bildung, Innovation, Infrastruktur, .... stattdessen Sozialstaat für alle.;NOT;['tiefseher', 'welt', 'staat', 'wenigstens', 'zukunft', 'sorgen', 'bildung', 'innovation', 'infrastruktur', 'stattdessen', 'sozialstaat']
????'Cohn-Bendit ist kein altersverwirrter Spinner, sondern ein knallharter machtgeiler Kaderschmied der modernen Herrschsucht'. ????  ;HOF;['altersverwirrter', 'spinner', 'knallharter', 'machtgeiler', 'kaderschmied', 'modernen', 'herrschsucht']
Kein Mythos, sondern Realität: In Deutschland muss ein Durchschnittsverdiener mehr als die Hälfte von jedem zusätzlich verdienten Euro an den Staat abführen ;NOT;['mythos', 'realität', 'deutschland', 'durchschnittsverdiener', 'mehr', 'hälfte', 'zusätzlich', 'verdienten', 'euro', 'staat', 'abführen']
JohnStefan27 Bei der Veranstaltung sind auch alle 'öffentlichen Leute' herzlich willkommen :) *fl;NOT;['johnstefan27', 'veranstaltung', 'leute', 'herzlich', 'willkommen', 'fl']
PolizeiHamburg Ist dass nur für die Akademie oder auch für öffentliche Leute!?;NOT;['polizeihamburg', 'akademie', 'öffentliche', 'leute']
"SEID AUCH MIT DABEI! activecityday  Wir sind es schon &amp; 365 Tage im Jahr aktiv in unserer Stadt. hamburgactivecity  Kommt zum Training für das Deutsche Sportabzeichen mit unserer Polizeiakademie  13. Juni 2019 | 8-15 Uhr | Leichtathletikhalle in Winterhude  ";NOT;['seid', 'dabei', 'activecityday', 'schon', 'amp', '365', 'tage', 'jahr', 'aktiv', 'unserer', 'stadt', 'hamburgactivecity', 'kommt', 'training', 'deutsche', 'sportabzeichen', 'unserer', 'polizeiakademie', '13.', 'juni', '2019', '8-15', 'uhr', 'leichtathletikhalle', 'winterhude']
Spendentour2019???????????????  Vier unserer Kollegen, mit streckenweise weiteren 'Mitfahrern', sind seit Freitag mit dem Fahrrad auf Deutschlandtour durch die Hauptstädte aller Bundesländer und sammeln Spenden. helfernhelfen  Mehr Infos:  ;NOT;['spendentour2019', 'vier', 'unserer', 'kollegen', 'streckenweise', 'weiteren', 'seit', 'freitag', 'fahrrad', 'deutschlandtour', 'hauptstädte', 'bundesländer', 'sammeln', 'spenden', 'helfernhelfen', 'mehr', 'infos']
"Spendentour2019 helfernhelfen???????????????  Am Sonntag haben unsere Radler nach 1000 Höhenmetern &amp; 120 km Weimar erreicht. Heute sind sie in Berlin und machen sich auf den Weg zur Kattenstiegsmühle um morgen Schwerin zu erreichen.  Mehr Infos: ";NOT;['spendentour2019', 'helfernhelfen', 'sonntag', 'radler', '1000', 'höhenmetern', 'amp', '120', 'km', 'weimar', 'erreicht', 'heute', 'berlin', 'kattenstiegsmühle', 'morgen', 'schwerin', 'erreichen', 'mehr', 'infos']
Ich drücke SebastianWippel jetzt erst recht die Daumen - dafür, dass er als erster AfD-Politiker das Amt des Oberbürgermeisters bekleidet. Dass er dies im Sinne der Bürger von Görlitz ausüben wird, daran besteht nicht der geringste Zweifel.  Wippel  ?? ;NOT;['drücke', 'sebastianwippel', 'erst', 'recht', 'daumen', 'dafür', 'erster', 'afd-politiker', 'amt', 'oberbürgermeisters', 'bekleidet', 'sinne', 'bürger', 'görlitz', 'ausüben', 'daran', 'besteht', 'geringste', 'zweifel', 'wippel']
????????????????'Es reiche aus, wenn die Aktion grundsätzlich geeignet gewesen sei, jemanden einzuschüchtern, befand der BGH. Das Landgericht hat dies nun mit der Verurteilung bejaht. Einige Verteidiger kündigten bereits an, Revision einzulegen'.  ;NOT;['reiche', 'aktion', 'grundsätzlich', 'geeignet', 'sei', 'jemanden', 'einzuschüchtern', 'befand', 'bgh', 'landgericht', 'verurteilung', 'bejaht', 'verteidiger', 'kündigten', 'bereits', 'revision', 'einzulegen']
Diese Art und Weise, Menschen zu verteufeln, die anders leben oder denken als man selbst... das macht mich echt wütend. Leute fahren mit dem Auto zur Arbeit, um ihre Familien zu ernähren. Jürgen Trittin lässt sich fahren. ;NOT;['art', 'weise', 'menschen', 'verteufeln', 'leben', 'denken', 'macht', 'echt', 'wütend', 'leute', 'fahren', 'auto', 'arbeit', 'familien', 'ernähren', 'jürgen', 'trittin', 'lässt', 'fahren']
ISDN verbieten, Glasfaserkabel verbieten, Kabelfernsehen verbieten, Digitalisierung der Telefonie verbieten ...   Sogar Computer wollten die GRÜNEN nicht. Ein Blick in frühere Parteiprogramme zeigt die  Tradition von Die_Gruenen als Verbotspartei   Quelle ;NOT;['isdn', 'verbieten', 'glasfaserkabel', 'verbieten', 'kabelfernsehen', 'verbieten', 'digitalisierung', 'telefonie', 'verbieten', 'sogar', 'computer', 'wollten', 'grünen', 'blick', 'frühere', 'parteiprogramme', 'zeigt', 'tradition', 'die_gruenen', 'verbotspartei', 'quelle']
Die AfD warnt schon lange davor, dass die Schule von links-grünen Lehrern unter Missachtung des Beutelsbacher_Konsens zur politischen Beeinflussung der Schüler missbraucht wird. Man fühlt sich in schlimmste DDR-Zeiten zurückversetzt. Neutrale_Schule ;NOT;['afd', 'warnt', 'schon', 'lange', 'davor', 'schule', 'links-grünen', 'lehrern', 'missachtung', 'beutelsbacher_konsens', 'politischen', 'beeinflussung', 'schüler', 'missbraucht', 'fühlt', 'schlimmste', 'ddr-zeiten', 'zurückversetzt', 'neutrale_schule']
Nichts ist in Deutschland mehr unmöglich?? ;NOT;['deutschland', 'mehr', 'unmöglich']
GörlitzistschlauGörlitzwähltblau ????    Ein klares JA für SebastianWippel     Bundesweit starten Migranten, Juden und Homosexuelle einen Gegenprotest. Zuvor hatte 'Hollywood' dazu aufgerufen den AfD OB.-Kandidaten nicht zu wählen. ;NOT;['görlitzistschlaugörlitzwähltblau', 'klares', 'ja', 'sebastianwippel', 'bundesweit', 'starten', 'migranten', 'juden', 'homosexuelle', 'gegenprotest', 'zuvor', 'aufgerufen', 'afd', 'ob.-kandidaten', 'wählen']
'Ein Video von 75 illegalen Migranten auf einem Schiff in Zarzis sorgte für Aufregung. Die vorwiegend jungen Männer skandierten ihre Forderung nach Einreise in d EU. Die tunesische Regierung hat jetzt beschlossen: Die Männer müssen in ihre Heimat zurück.'    ;NOT;['video', '75', 'illegalen', 'migranten', 'schiff', 'zarzis', 'sorgte', 'aufregung', 'vorwiegend', 'jungen', 'männer', 'skandierten', 'forderung', 'einreise', 'd', 'eu', 'tunesische', 'regierung', 'beschlossen', 'männer', 'müssen', 'heimat', 'zurück']
Geldern: Zwei mit osteuropäischem Akzent sprechende Jugendliche überfallen morgens zwei Geschwisterkinder auf dem Schulweg und fordern Geld, treten dem 12-Jährigen in den Bauch, schlagen die Köpfe der Brüder zusammen, die kein Geld dabei haben  ;NOT;['geldern', 'zwei', 'osteuropäischem', 'akzent', 'sprechende', 'jugendliche', 'überfallen', 'morgens', 'zwei', 'geschwisterkinder', 'schulweg', 'fordern', 'geld', 'treten', '12-jährigen', 'bauch', 'schlagen', 'köpfe', 'brüder', 'zusammen', 'geld', 'dabei']
Offenburg 25 Jähriger Somalier verprügelt 75 Jährigen Senior. Tritt solange auf den Kopf des am Boden liegenden Seniors ein, bis dieser bewusstlos ist und mit schweren Kopfverletzungen in die Klinik kommt. ;NOT;['offenburg', '25', 'jähriger', 'somalier', 'verprügelt', '75', 'jährigen', 'senior', 'tritt', 'solange', 'kopf', 'boden', 'liegenden', 'seniors', 'bewusstlos', 'schweren', 'kopfverletzungen', 'klinik', 'kommt']
"Bürgermeister-Wahlen in Italien: Deutsche Medien verschweigen, dass massenhaft sozialistische Hochburgen an Salvini's Lega fallen.  (Grüne spielen dort übrigens keine Rolle.)  ;)  ";NOT;['bürgermeister-wahlen', 'italien', 'deutsche', 'medien', 'verschweigen', 'massenhaft', 'sozialistische', 'hochburgen', 'salvini', 'lega', 'fallen', 'grüne', 'spielen', 'übrigens', 'rolle']
derorient Pegasia111 Uwe_Junge_MdL ...und wahrscheinlich können Sie diese Behauptung mit Fakten unterlegen...;NOT;['derorient', 'pegasia111', 'uwe_junge_mdl', 'wahrscheinlich', 'behauptung', 'fakten', 'unterlegen']
Ein Kleinkind über die Balkonbrüstung halten und damit drohen es in die Tiefe fallen zu lassen, bleibt straflos, wenn man dessen Vater und  'Flüchtling' ist, der  gerade von der Polizei nach Albanien abgeschoben werden soll. Freispruch! Krefeld ;NOT;['kleinkind', 'balkonbrüstung', 'halten', 'drohen', 'tiefe', 'fallen', 'lassen', 'bleibt', 'straflos', 'vater', 'gerade', 'polizei', 'albanien', 'abgeschoben', 'freispruch', 'krefeld']
"reis_angebrannt derorient Pegasia111 In diesem Land ist jeder rechts™/rechtsextrem™, der nicht innerhalb der von Linkslinken &amp; Grünen definierten Markierung ?? steht.  Protestierende Bürger &amp; Eltern einer 'Schützt unsere Kinder'-Demo Dessau =r";NOT;"['reis_angebrannt', 'derorient', 'pegasia111', 'land', 'rechts\x99/rechtsextrem\x99', 'innerhalb', 'linkslinken', 'amp', 'grünen', 'definierten', 'markierung', 'steht', 'protestierende', 'bürger', 'amp', 'eltern', ""kinder'-demo"", 'dessau']"
reis_angebrannt derorient Pegasia111 2/2  Der spontanen Demo in Dessau Rosslau lag ein schwerer sexueller Missbrauch an einem 9jährigen(!) Mädchen durch 27j. Asylbewerber aus Niger zugrunde  der inzwischen verhaftet werden konnte.  Dramatisierung ;NOT;['reis_angebrannt', 'derorient', 'pegasia111', '2/2', 'spontanen', 'demo', 'dessau', 'rosslau', 'lag', 'schwerer', 'sexueller', 'missbrauch', '9jährigen', 'mädchen', '27j', 'asylbewerber', 'niger', 'zugrunde', 'inzwischen', 'verhaftet', 'konnte', 'dramatisierung']
„Ohne ausreichend Personal, den richtigen Einsatzmitteln und vor allem dem politischen Willen, gepaart mit dem nötigen Rückhalt und Vertrauen in die polizeiberlin, wird dort nie Ruhe einkehren.“ *BN BZ_NachtFloh bzberlin ;NOT;['ausreichend', 'personal', 'richtigen', 'einsatzmitteln', 'politischen', 'willen', 'gepaart', 'nötigen', 'rückhalt', 'vertrauen', 'polizeiberlin', 'nie', 'ruhe', 'einkehren.\x93', 'bn', 'bz_nachtfloh', 'bzberlin']
Die deutsch / iranische Freundschaft - In Herzlichkeit verbunden.  Ich möchte hier offiziell betonen, daß Herr Steinmeier nicht mein Präsident und HeikoMaas sicherlich auch nicht mein Außenminister ist. Shalom. Bundesregierung Steinmeier Israel Antisemitismus ;NOT;['deutsch', 'iranische', 'freundschaft', 'herzlichkeit', 'verbunden', 'möchte', 'offiziell', 'betonen', 'herr', 'steinmeier', 'präsident', 'heikomaas', 'sicherlich', 'außenminister', 'shalom', 'bundesregierung', 'steinmeier', 'israel', 'antisemitismus']
Wenn die das nächste Mal nach Görlitz kommen, können sie die Patenschaft für einige hundert Schutzsuchende übernehmen und,um sich besser zu kümmern, sie gleich mitnehmen.  Offener Brief vor OBM-Wahl - Hollywood-Stars bitten Görlitzer: Wählt weise! ;NOT;['nächste', 'mal', 'görlitz', 'kommen', 'patenschaft', 'hundert', 'schutzsuchende', 'übernehmen', 'besser', 'kümmern', 'gleich', 'mitnehmen', 'offener', 'brief', 'obm-wahl', 'hollywood-stars', 'bitten', 'görlitzer', 'wählt', 'weise']
"Ich_hake_nach LVZ Ich rufe dazu auf, von nun an die Filme / Bücher mit &amp; von ?? zu boykottieren!    - daniel_bruhl  - ElleVisionnaire  - Burghardt Klaußner   -  brigittebrochet  - boxingondvd  - danielkehlmann  - Bernhard Schlink    Gleiches gi";NOT;['ich_hake_nach', 'lvz', 'rufe', 'filme', 'bücher', 'amp', 'boykottieren', 'daniel_bruhl', 'ellevisionnaire', 'burghardt', 'klaußner', 'brigittebrochet', 'boxingondvd', 'danielkehlmann', 'bernhard', 'schlink', 'gleiches', 'gi']
